w_u_val,w_T_val,U_ub_val,use_tumor_at_final_time,use_U,lambda_val,fig_number,final_obj
1.0,1.0,2,False,True,0.17334118,1,1777485.9061083004
1.0,1.0,2,True,True,0.17334118,2,0.17529301660788082
1.0,1.0,16,False,True,0.17334118,3,1511071.1311502042
1.0,1.0,16,True,True,0.17334118,4,0.12305160659203414
1.0,100.0,2,False,True,0.17334118,5,177748392.6111564
1.0,100.0,2,True,True,0.17334118,6,69.11106218850499
1.0,100.0,16,False,True,0.17334118,7,151105529.11498794
1.0,100.0,16,True,True,0.17334118,8,3.7397874991236164
100.0,1.0,2,False,True,0.17334118,9,1777683.9061156109
100.0,1.0,2,True,True,0.17334118,10,1.0820906237705552
100.0,1.0,16,False,True,0.17334118,11,1512606.180224488
100.0,1.0,16,True,True,0.17334118,12,1.0820935810291603
100.0,100.0,2,False,True,0.17334118,13,177748590.61116034
100.0,100.0,2,True,True,0.17334118,14,17.5293016952542
100.0,100.0,16,False,True,0.17334118,15,151107113.105466
100.0,100.0,16,True,True,0.17334118,16,12.30516065206638
